artist,genre
Flo Rida,Unknown
James Arthur,soft pop
Aaryan Shah,Unknown
Russ,Unknown
Alyssa Mendonsa,bollywood
Dikshant,indian indie
Hammad Nadeem,Unknown
Rahul Jain,Unknown
Achint,gujarati garba
Ahmed Jahanzaib,Unknown
Rizwan Anwar,Unknown
Parul Mishra,hindi indie
Ali Haider,desi pop
Azlan Abid,Unknown
Asrar,sufi
sapientdream,Unknown
Lana Del Rey,Unknown
Loud Luxury,Unknown
Faraz Ahmed,ghazal
Nehaal Naseem,indian indie
Shany Haider,desi
Kashmir,indian indie
TheFatRat,Unknown
Arsalan Hasan,hindi indie
Akhtar Chanal Zehri,Unknown
Richie,azonto
Waqar Ali,Unknown
Wajahat Rauf,desi
EI8HT,Unknown
Low Hum,Unknown
Avoure,melodic techno
ZHU,edm
1STVIRGINIA,Unknown
sakehands,Unknown
Moglii,Unknown
Ark Patrol,Unknown
Troye Sivan,Unknown
Sainté,uk drill
JXMESC,Unknown
M83,Unknown
DVRST,phonk
AUR,hindi indie
Jake Scott,Unknown
thiarajxtt,punjabi pop
Aprilwalayaar,Unknown
Towers,indian indie
Sofi Tukker,Unknown
The Game,west coast hip hop
Bhramit Das,Unknown
Sushma Shrestha,ghazal
Kunal Ganjawala,kannada pop
Zubeen Garg,bangla pop
Aadesh Shrivastava,bollywood
Sunidhi Chauhan,bollywood
Dave,grime
SL,uk drill
Arz,uk drill
Parah Dice,Unknown
PedroDJDaddy,Unknown
Hadiqa Kiani,qawwali
Alex1,uk drill
JBEE,uk drill
Jorja Smith,Unknown
Sheff G,brooklyn drill
A1 x J1,uk drill
Rahma Ali Muqaddraan,Unknown
Kitty Witts,Unknown
Goldie Sohel,desi
Hinanaaz,sufi
DJ Shine India,Unknown
Saba,Unknown
Wesley Joseph,Unknown
Jordy,grime
JAY1,grime
COMFY,uk drill
Aaron May,Unknown
Ramz,qawwali
tobi lou,Unknown
Jagjit Singh,ghazal
Retrib,turkish hip hop
Walker,Unknown
Louis 31,Unknown
Loverground,lo-fi house
glue70,vaporwave
Macem Ly,lo-fi beats
Submotion Orchestra,Unknown
toh inc.,Unknown
Nick Hakim,Unknown
Charles Murdoch,lo-fi house
Etari,lo-fi house
Nuage,liquid funk
Three Days Grace,post-grunge
Taimour Baig,desi hip hop
MC SQUARE,haryanvi pop
